Año	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC
1964	50.2	105.1	52.5	166.3	1.5	6.8	0	4.7	13.4	49.9	25.4	16.4
1965	39.6	22	348.9	318.2	138	4.4	0	11.9	26.6	45.4	73.2	15
1966	139.3	80.5	136	33.4	5.3	1.2	1.3	0	6.5	52.4	19.9	36
1967	173.4	263.5	187.5	66.4	56	58.9	13.7	0	0	122.3	79.6	116
1968	130.1	140.2	131.9	86.5	47.4	17.6	16	4.2	39.7	52.2	90.3	57.6
1969	192.8	158.4	278.8	258.9	86.4	18.2	10.3	6.6	36.7	68.7	120.2	239.4
1970	120.8	87.3	97.1	93.4	82.2	47.7	23.3	61.6	81.7	31.3	100.8	62.5
1971	114.5	84.3	388.9	120.4	76.3	93.4	10.3	6.9	34.9	30.8	35.6	84.5
1972	75.1	105	512	213.5	86.7	46.1	3.2	9.5	12.5	0.6	45.9	67.6
1973	101.7	296.9	256.7	226.4	60.3	17.9	17.5	10.5	18.9	13.4	32.7	64.6
1974	50.3	228.7	90.7	52.8	8.9	20	2.8	19.5	22.2	13.7	52.8	44.6
1975	71.2	258.9	344.1	210.8	74.5	29.4	8.8	45	6.6	90.3	21.5	16.2
1976	80	349.2	240.7	127.2	54.2	13.4	2.5	6.5	3.2	3.4	12.9	60.2
1977	149.5	206.3	256	228.7	24	17.1	2.2	2.9	21.2	7.2	36.5	60
1978	38.4	132.1	210.9	151.8	84.7	4.7	2.6	3.4	6	8.8	14.9	20.2
1979	170.7	62.3	415.1	86.4	18.4	0.2	0	6.8	11.7	0.4	5.1	9.9
1980	38.7	139	116.9	129.1	17.9	2.3	0.1	1.1	0	62.2	33.3	70.3
1981	75.8	188.7	348.3	101.3	9.5	4.8	0.3	13.9	0	47.4	6.5	40.8
1982	87	136.3	48.9	154.5	36.9	1	2.1	0.1	7.8	55	81.2	576.4
1983	355.7	297.5	620.5	286.2	172.1	33.3	11	0.3	13.3	53.5	29	97
1984	105.6	457.3	232	121.9	51.3	16.7	13.4	1.7	27.5	66.6	30	45.1
1985	140.1	97.6	173.4	39.3	44.4	0	0.3	7.1	0.8	12.1	1.7	80.7
1986	122.3	179.5	92.6	242.4	13	0	0	14.3	7	9.6	42.3	88.9
1987	152.5	77.1	319.3	155.6	14.6	0.5	30.3	1.9	0.8	35.9	12.9	14.6
1988	170.8	186.4	25.3	85.1	41.1	1.6	3.3	0	6.4	7.7	66	62.4
1989	195.9	269.5	562.6	118.2	18.3	10.4	0.3	0.6	11.7	45	1.1	18.4
1990	36.2	145.2	107.1	158.4	20.8	8.1	4.3	3.5	0.2	87.5	90.2	50.6
1991	25.7	125.8	277.1	66.9	30.2	13.3	0	0	0	20.2	10.6	96
1992	113.6	147.8	250.2	311.4	160.5	16.2	0.7	5.7	4.5	10	41.9	66.1
1993	83.3	316.5	449.6	234.8	56.6	7	1	4	2	10	12	80
1994	90	250	150	200	36	7.8	0	2.1	17.2	6	9.9	110.3
1995	131.4	248.8	211.8	90.3	25.6	0.9	10.1	2.7	4.9	7.8	15.7	105.2
1996	63.2	100.5	171.8	81.9	15.4	3.5	1.9	1.5	0.3	21.4	2.5	29.8
1997	58.4	99.2	172.7	135.4	7	9	5.4	0.9	37.9	18.8	88.6	378.4
1998	169.7	400.9	422.6	426.2	86.1	4.7	1.2	4.9	12	41.5	30	72.8
1999	144.7	552.5	274.1	160.2	108.8	21.4	5	1.6	8.3	20.5	30	42
2000	112.6	318.7	517.5	243.1	118.3	27.5	0	4	44.8	0.3	1.3	81.3
2001	224.7	338.2	70	125.1	27.6	5.2	1.7	5	13.9	10	64.5	54.1
2002	23.2	333	368.3	271	31	8.7	4.7	0.8	0	77.2	28.5	97.9
2003	136	196.6	127.5	77.9	24.1	31.6	1.2	0.5	2.6	3.3	20.8	57.6
2004	85.5	73.1	112.2	121.2	19.4	4.9	3.3	0	7.5	59.2	14.9	80.5
2005	39.2	232.5	450.1	68.4	12.1	1.4	0	0	6.6	24.6	12.7	98.2
2006	69.5	392.6	571.1	126.4	13.7	20.4	6.5	0	10.1	6.4	76	75
2007	102.2	105.9	237.9	121.7	33.8	8.9	4.3	0.4	5	55.1	75.6	16.2
